Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+
Caliphate;2020;18+;8,2;68;Tem;Não tem;Não tem;Não tem
Good Witch;2015;7+;7,3;68;Tem;Não tem;Não tem;Não tem
Gilmore Girls: A Year in the Life;2016;16+;7,6;68;Tem;Não tem;Não tem;Não tem
Aquarius;2015;16+;7,1;68;Tem;Não tem;Não tem;Não tem
Firefly Lane;2021;18+;7,4;67;Tem;Não tem;Não tem;Não tem
White Gold;2017;18+;7,4;67;Tem;Não tem;Não tem;Não tem
Hyperdrive;2019;7+;8,1;67;Tem;Não tem;Tem;Não tem
Ninjago: Masters of Spinjitzu;2012;0;7,2;67;Tem;Não tem;Tem;Não tem
BEASTARS;2019;18+;7,8;67;Tem;Não tem;Não tem;Não tem
Kill la Kill;2013;18+;7,9;67;Tem;Não tem;Não tem;Não tem
Down to Earth with Zac Efron;2020;7+;8,1;67;Tem;Não tem;Não tem;Não tem
Ancient Aliens;2010;7+;7,2;67;Tem;Tem;Tem;Não tem
Slasher;2016;18+;6,7;67;Tem;Não tem;Não tem;Não tem
Time: The Kalief Browder Story;2017;16+;8,5;67;Tem;Não tem;Não tem;Não tem
Away;2020;16+;6,6;67;Tem;Não tem;Não tem;Não tem
No Tomorrow;2016;7+;7,3;67;Tem;Não tem;Não tem;Não tem
Locked Up;2015;18+;8,2;67;Tem;Não tem;Não tem;Não tem
The Frankenstein Chronicles;2015;16+;7,3;67;Tem;Não tem;Não tem;Não tem
The Ranch;2016;16+;7,5;67;Tem;Não tem;Não tem;Não tem
Cursed;2020;18+;5,9;67;Tem;Não tem;Não tem;Não tem
Wu Assassins;2019;18+;6,5;67;Tem;Não tem;Não tem;Não tem
Mr. Sunshine;2018;18+;8,8;67;Tem;Não tem;Não tem;Não tem
